Seed,FinalEntityCount,MaxEntityCount,StepsRun,ExecutionTime(ms),AverageAge,AverageEnergy,AvgSpeed,AvgMass,AvgEnergyEfficiency,AvgSightRange,AvgMetabolismRate,AvgReproductionThreshold,GRASSCount,MOUNTAINCount,FORESTCount,DESERTCount,TUNDRACount,SWAMPCount,OCEANCount,VOLCANICCount
7785107021218519064,0,1,211,738,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
5217040370756991563,0,1,127,646,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-8424272903841866776,0,1,24,176,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
568099986604953761,0,1,18,201,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-5947767143133428558,0,1,12,115,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
856730596617267051,0,1,18,255,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-257661354981559431,0,3,352,1123,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-7418313347579546276,0,1,30,253,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
1609834876222991013,0,2,420,1178,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
8115454757928679671,0,1,14,151,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-8458952846844896798,0,1,145,692,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-3436914174730944244,0,2,186,755,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-1376405033018506169,0,2,191,926,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
3961443087216490882,0,2,175,873,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
