Zeitschritt,X,Y,Umgebung,Anpassung,Effizienz,Mobilität,Energie,Alter,Lebendig,Kategorie,Datei
2000,5,21,SUMPF,1.5,1.661,0.963,200.0,1894,1,same,ca_detail_1762512270723
2000,5,22,OZEAN,0.5,2.0,2.0,200.0,323,1,same,ca_detail_1762512270723
2000,5,23,WALD,0.618,1.013,1.338,86.62,117,1,same,ca_detail_1762512270723
2000,5,24,SUMPF,0.501,1.698,1.763,200.0,46,1,same,ca_detail_1762512270723
2000,5,25,TUNDRA,0.543,1.896,2.0,37.86,83,1,same,ca_detail_1762512270723
2000,5,26,WALD,0.695,2.0,1.146,200.0,740,1,same,ca_detail_1762512270723
2000,5,27,GRASLAND,0.543,1.698,1.715,200.0,251,1,same,ca_detail_1762512270723
2000,5,28,OZEAN,0.715,1.992,1.715,200.0,211,1,same,ca_detail_1762512270723
2000,5,29,GEBIRGE,0.715,2.0,1.157,104.89,118,1,same,ca_detail_1762512270723
2000,5,30,SUMPF,0.709,1.666,1.715,200.0,440,1,same,ca_detail_1762512270723
2000,5,31,TUNDRA,0.5,2.0,2.0,98.89,48,1,same,ca_detail_1762512270723
2000,5,32,OZEAN,0.865,1.562,0.972,200.0,324,1,same,ca_detail_1762512270723
2000,5,33,OZEAN,0.865,1.562,0.972,200.0,316,1,same,ca_detail_1762512270723
2000,5,34,OZEAN,0.78,2.0,1.138,200.0,106,1,same,ca_detail_1762512270723
2000,5,35,SUMPF,0.865,1.562,0.968,200.0,249,1,same,ca_detail_1762512270723
2000,5,36,OZEAN,1.223,2.0,1.086,200.0,174,1,same,ca_detail_1762512270723
