Anpassung,Effizienz,Mobilität,Energie,Alter,Umgebung,Kategorie
0.632,2.0,1.798,91.4,1,VULKAN,same
0.513,2.0,1.372,11.57,219,TUNDRA,same
1.646,0.916,1.367,200.0,443,GRASLAND,same
1.194,2.0,1.655,3.61,19,WÜSTE,same
0.5,2.0,2.0,200.0,1114,OZEAN,same
1.324,2.0,1.569,39.23,295,TUNDRA,same
0.996,2.0,1.691,150.62,598,TUNDRA,same
1.073,2.0,1.414,0.46,290,TUNDRA,same
1.073,2.0,1.414,141.82,387,TUNDRA,same
0.5,1.967,1.05,200.0,455,OZEAN,same
0.523,1.097,1.274,75.86,61,WALD,same
0.523,1.097,1.274,104.89,89,GRASLAND,same
0.971,2.0,1.318,94.08,1,WÜSTE,same
0.9,0.987,0.845,200.0,1913,WALD,same
1.911,1.71,0.815,200.0,1918,GEBIRGE,same
2.0,2.0,1.768,200.0,413,TUNDRA,same
2.0,2.0,1.304,200.0,187,WALD,same
2.0,1.632,2.0,200.0,361,GEBIRGE,same
2.0,2.0,2.0,200.0,300,SUMPF,same
2.0,2.0,0.604,200.0,1033,GRASLAND,same
0.5,2.0,1.919,107.0,322,WÜSTE,same
0.956,2.0,2.0,142.7,120,OZEAN,same
0.956,2.0,1.423,107.45,117,SUMPF,same
1.108,2.0,1.836,200.0,85,GEBIRGE,same
0.716,2.0,1.836,107.02,72,OZEAN,same
0.769,2.0,1.37,88.82,641,TUNDRA,same
0.543,1.811,1.715,82.14,2,VULKAN,same
0.662,1.96,0.794,200.0,394,SUMPF,same
0.778,1.732,1.04,81.05,81,GEBIRGE,same
0.662,1.326,0.595,200.0,278,SUMPF,same
0.662,1.288,0.5,79.98,2,VULKAN,same
0.782,1.788,0.5,164.05,43,GRASLAND,same
0.5,1.776,1.138,3.89,14,WÜSTE,same
0.547,2.0,1.138,173.22,57,SUMPF,same
0.547,2.0,1.489,181.33,24,SUMPF,same
0.554,2.0,2.0,197.73,497,TUNDRA,same
0.757,2.0,0.894,31.2,8,VULKAN,same
0.696,2.0,0.894,149.6,57,GEBIRGE,same
0.757,2.0,0.932,101.31,28,GEBIRGE,same
0.5,2.0,0.5,20.2,494,WÜSTE,same
0.665,2.0,0.5,200.0,486,SUMPF,same
0.741,2.0,2.0,192.8,225,TUNDRA,same
0.741,2.0,2.0,200.0,319,WALD,same
0.741,2.0,1.421,200.0,176,SUMPF,same
0.973,2.0,2.0,200.0,302,SUMPF,same
0.685,1.54,1.225,31.59,9,WÜSTE,same
0.861,2.0,1.676,200.0,475,WALD,same
0.5,1.898,2.0,200.0,930,OZEAN,same
0.714,1.606,1.798,11.15,61,GEBIRGE,same
0.632,1.606,1.798,162.17,93,GRASLAND,same
0.808,1.683,1.917,200.0,233,GRASLAND,same
0.817,1.683,1.917,200.0,319,OZEAN,same
0.5,1.712,0.968,200.0,626,SUMPF,same
1.324,2.0,1.569,200.0,306,GEBIRGE,same
0.5,1.712,1.05,200.0,578,SUMPF,same
0.5,1.712,1.05,200.0,530,GRASLAND,same
1.338,2.0,1.489,200.0,114,OZEAN,same
0.5,1.712,1.05,200.0,495,GRASLAND,same
1.324,2.0,1.489,179.96,282,TUNDRA,same
1.073,2.0,1.414,200.0,313,WÜSTE,same
0.523,1.097,1.274,63.24,4,WÜSTE,same
0.971,2.0,1.318,158.29,62,SUMPF,same
1.141,2.0,1.318,183.45,10,OZEAN,same
2.0,2.0,2.0,200.0,433,SUMPF,same
1.296,1.909,0.617,200.0,1749,OZEAN,same
2.0,2.0,0.67,14.0,10,VULKAN,same
2.0,2.0,0.715,25.41,26,WÜSTE,same
2.0,2.0,1.154,3.39,12,VULKAN,same
2.0,2.0,1.763,141.4,100,GEBIRGE,same
2.0,2.0,2.0,85.54,250,TUNDRA,same
2.0,2.0,1.262,77.3,77,TUNDRA,same
