Zeitschritt,X,Y,Umgebung,Anpassung,Effizienz,Mobilität,Energie,Alter,Lebendig,Kategorie,Datei
1200,37,47,VULKAN,0.89,1.536,1.1,100.0,0,1,steps,ca_detail_1762512788880
1600,25,3,OZEAN,0.633,2.0,1.906,177.2,56,1,steps,ca_detail_1762512804294
1600,8,37,TUNDRA,2.0,1.576,1.215,40.93,460,1,steps,ca_detail_1762512804294
2000,32,25,OZEAN,0.953,2.0,2.0,200.0,788,1,seed,ca_detail_1762512598970
2000,30,44,GEBIRGE,1.148,1.793,1.413,200.0,1585,1,seed,ca_detail_1762512446573
2000,19,42,VULKAN,1.931,1.552,1.483,24.59,8,1,population,ca_detail_1762513304195-pop2500
800,37,25,WALD,1.521,2.0,0.696,200.0,108,1,steps,ca_detail_1762512767599
2000,36,6,SUMPF,1.249,2.0,1.878,153.94,30,1,population,ca_detail_1762512974066-pop1
2000,29,28,WALD,1.14,2.0,0.665,168.88,29,1,same,ca_detail_1762512346105
2000,49,27,GRASLAND,0.566,2.0,1.409,200.0,315,1,same,ca_detail_1762512346105
2000,12,44,GEBIRGE,0.835,2.0,1.259,200.0,108,1,population,ca_detail_1762513065927-pop50
800,29,44,OZEAN,0.927,1.934,0.69,114.11,2,1,steps,ca_detail_1762512767599
2000,42,1,SUMPF,2.0,1.945,1.481,188.95,116,1,seed,ca_detail_1762512483895
2000,18,12,WALD,1.172,1.836,0.5,200.0,1773,1,steps,ca_detail_1762512849242
2000,39,30,VULKAN,0.973,2.0,0.897,14.0,10,1,seed,ca_detail_1762512598970
2000,28,19,VULKAN,0.763,2.0,2.0,68.13,220,1,same,ca_detail_1762512398038
2000,5,24,SUMPF,1.279,1.939,1.003,200.0,135,1,population,ca_detail_1762512974066-pop1
2000,17,44,VULKAN,2.0,2.0,2.0,77.47,3,1,same,ca_detail_1762512398038
2000,27,31,WÜSTE,2.0,2.0,2.0,0.11,663,1,same,ca_detail_1762512310071
2000,29,24,WALD,0.5,2.0,0.582,200.0,868,1,same,ca_detail_1762512346105
2000,9,0,TUNDRA,0.613,2.0,1.753,98.42,10,1,population,ca_detail_1762513304195-pop2500
400,16,21,OZEAN,1.851,1.357,1.057,88.84,38,1,steps,ca_detail_1762512748570
800,0,13,TUNDRA,1.794,1.325,0.961,94.31,1,1,steps,ca_detail_1762512767599
2000,5,22,OZEAN,2.0,1.974,1.577,200.0,74,1,population,ca_detail_1762513195633-pop625
2000,28,46,VULKAN,0.5,2.0,1.677,65.6,4,1,steps,ca_detail_1762512849242
800,4,29,SUMPF,0.594,1.315,0.903,184.57,35,1,steps,ca_detail_1762512767599
400,6,3,VULKAN,0.865,2.0,1.38,74.2,3,1,steps,ca_detail_1762512748570
2000,19,39,WÜSTE,0.781,2.0,1.387,56.6,7,1,same,ca_detail_1762512270723
2000,22,25,VULKAN,1.802,1.591,2.0,90.65,1,1,same,ca_detail_1762512370832
1600,11,39,WALD,2.0,2.0,0.799,200.0,222,1,steps,ca_detail_1762512804294
1600,24,46,VULKAN,0.5,2.0,1.41,65.6,4,1,steps,ca_detail_1762512804294
1600,45,1,WÜSTE,0.569,1.706,1.746,100.0,0,1,steps,ca_detail_1762512804294
